scenario,seed,event_id,disk_id,state,start_window,end_window,start_read,end_read,is_migration_positive,notes
dynamic_degradation,42,0,8,healthy,0,3,0,15000,0,warmup_before_first_onset
dynamic_degradation,42,1,8,mild_slow,3,6,15000,30000,1,first_gradual_degradation
dynamic_degradation,42,2,8,severe_slow,6,9,30000,45000,1,sustained_severe_period
dynamic_degradation,42,3,8,recovery,9,11,45000,55000,0,partial_recovery
dynamic_degradation,42,4,8,healthy,11,14,55000,70000,0,recovered_interval
dynamic_degradation,42,5,8,mild_slow,14,15,70000,75000,1,relapse
dynamic_degradation,42,6,8,recovery,15,16,75000,80000,0,relapse_recovery
dynamic_degradation,42,7,8,healthy,16,20,80000,100000,0,post_recovery_observation
dynamic_degradation,42,8,9,healthy,0,9,0,45000,0,staggered_later_onset
dynamic_degradation,42,9,9,mild_slow,9,11,45000,55000,1,second_disk_mild_period
dynamic_degradation,42,10,9,severe_slow,11,14,55000,70000,1,second_disk_severe_period
dynamic_degradation,42,11,9,recovery,14,16,70000,80000,0,second_disk_recovery
dynamic_degradation,42,12,9,healthy,16,20,80000,100000,0,second_disk_post_recovery
